Row  ,Par1 ,Par2 ,Smp1 ,Par3 ,Par4 ,Smp2 ,Inst# ,InstName      ,Smp1Desc ,Smp1Note ,Smp2Desc ,Smp2Note
003c ,0000 ,0094 ,0047 ,0003 ,0094 ,0047 ,09    ,STRINGS1      ,Strng1   ,A1       ,Strng1   ,A1
003d ,0019 ,0094 ,0048 ,001b ,0094 ,0048 ,09    ,STRINGS1      ,Strng1   ,A2       ,Strng1   ,A2		
003e ,0019 ,0094 ,0049 ,001b ,0094 ,0049 ,09    ,STRINGS1      ,Strng1   ,A4       ,Strng1   ,A4

003f ,002b ,00c5 ,017a ,002b ,00c5 ,017a ,10    ,PIANO2        ,
0040 ,0004 ,0076 ,0191 ,0004 ,0076 ,0191 ,10    ,PIANO2        ,Squar1   ,E2       ,Square1  ,E2
0041 ,0000 ,00c6 ,0071 ,0000 ,00c6 ,0071 ,10    ,PIANO2        ,Xylo1    ,A2       ,Xylo1    ,A2
0042 ,0000 ,00b2 ,0089 ,0000 ,00b2 ,0089 ,10    ,PIANO2        ,??       ,??       ,??       ,??
0043 ,0000 ,0039 ,0085 ,0000 ,0039 ,0085 ,10    ,PIANO2        ,TriM1    ,A3       ,TriM1    ,A3
0044 ,0000 ,00c7 ,0073 ,0000 ,00c7 ,0073 ,10    ,PIANO2        ,Xylo1    ,A4       ,Xylo1    ,A4
0045 ,002b ,00a2 ,017b ,002a ,00a2 ,017b ,10    ,PIANO2        ,
0046 ,0000 ,0077 ,0074 ,0000 ,0077 ,0074 ,10    ,PIANO2        ,Xylo1    ,B4       ,Xylo1    ,B4

0048 ,0031 ,00c1 ,0001 ,0000 ,00c1 ,0001 ,11    ,PIANO3        ,Piano1   ,A0       ,Piano1   ,A0
0049 ,0031 ,00c4 ,0002 ,0000 ,00c4 ,0002 ,11    ,PIANO3        ,Piano1   ,E1       ,Piano1   ,E1
004a ,0031 ,00c3 ,0003 ,0000 ,00c3 ,0003 ,11    ,PIANO3        ,Piano1   ,A1       ,Piano1   ,A1
0047 ,0031 ,00c0 ,0000 ,0000 ,00c0 ,0000 ,11    ,PIANO3        ,Piano1   ,E2       ,Piano1   ,E2
004b ,0031 ,00c2 ,0004 ,0000 ,00c2 ,0004 ,11    ,PIANO3        ,Piano1   ,A2       ,Piano1   ,A2
004c ,0031 ,00c8 ,0005 ,0000 ,00c8 ,0005 ,11    ,PIANO3        ,Piano1   ,E3       ,Piano1   ,E3
004d ,0031 ,00bd ,0006 ,0000 ,00bd ,0006 ,11    ,PIANO3        ,Piano1   ,A3       ,Piano1   ,A3
004e ,0031 ,00be ,0194 ,0000 ,00be ,0194 ,11    ,PIANO3        ,Piano1   ,D4       ,Piano1   ,D4
004f ,0031 ,00bf ,0194 ,0000 ,00bf ,0194 ,11    ,PIANO3        ,Piano1   ,D4       ,Piano1   ,D4

0050 ,0031 ,0011 ,004a ,0000 ,00af ,004a ,12    ,E.PIANO1      ,
0051 ,0031 ,0011 ,004b ,0000 ,00af ,004b ,12    ,E.PIANO1      ,
0052 ,0031 ,0011 ,004c ,0000 ,00af ,004c ,12    ,E.PIANO1      ,
0053 ,0031 ,0011 ,004d ,0000 ,00af ,004d ,12    ,E.PIANO1      ,
0054 ,0031 ,0011 ,004d ,0000 ,00af ,004d ,12    ,E.PIANO1      ,

0055 ,0031 ,0067 ,004e ,0012 ,0067 ,004e ,13    ,E.PIANO2      ,
0056 ,0031 ,0067 ,004e ,0012 ,0067 ,004e ,13    ,E.PIANO2      ,
0057 ,0031 ,0067 ,004f ,0012 ,0067 ,004f ,13    ,E.PIANO2      ,
0058 ,0031 ,0068 ,0050 ,0012 ,0068 ,0050 ,13    ,E.PIANO2      ,
0059 ,0031 ,0068 ,0051 ,0012 ,0068 ,0051 ,13    ,E.PIANO2      ,

005a ,0037 ,00ae ,004a ,0012 ,00ae ,004a ,14    ,E.PIANO3      ,
005b ,0037 ,00ae ,004b ,0012 ,00ae ,004b ,14    ,E.PIANO3      ,
005c ,0037 ,00ae ,004c ,0012 ,00ae ,004c ,14    ,E.PIANO3      ,
005d ,0037 ,00ae ,004d ,0012 ,00ae ,004d ,14    ,E.PIANO3      ,

005e ,0031 ,0067 ,0052 ,0000 ,0067 ,0052 ,15    ,E.PIANO4      ,SineW3   ,A0       ,SineW3   ,A0
005f ,0031 ,0067 ,0053 ,0000 ,0067 ,0053 ,15    ,E.PIANO4      ,SineW3   ,A1       ,SineW3   ,A1
0060 ,0031 ,0067 ,0054 ,0000 ,0067 ,0054 ,15    ,E.PIANO4      ,SineW3   ,A2       ,SineW3   ,A2
0061 ,0031 ,0067 ,0055 ,0000 ,0067 ,0055 ,15    ,E.PIANO4      ,SineW3   ,A3       ,SineW3   ,A3
0062 ,0031 ,0067 ,0056 ,0000 ,0067 ,0056 ,15    ,E.PIANO4      ,SineW3   ,A4       ,SineW3   ,A4

0063 ,0031 ,00c0 ,0000 ,0000 ,00af ,004a ,16    ,E.PIANO5      ,Piano1   ,A0
0064 ,0031 ,00c1 ,0001 ,0000 ,00af ,004b ,16    ,E.PIANO5      ,Piano1   ,E1
0065 ,0031 ,00c4 ,0002 ,0000 ,00af ,004b ,16    ,E.PIANO5      ,Piano1   ,A1
0066 ,0031 ,00c3 ,0003 ,0000 ,00af ,004c ,16    ,E.PIANO5      ,Piano1   ,E2
0067 ,0031 ,00c2 ,0004 ,0000 ,00af ,004c ,16    ,E.PIANO5      ,Piano1   ,A2
0068 ,0031 ,00c8 ,0005 ,0000 ,00af ,004d ,16    ,E.PIANO5      ,Piano1   ,E3
0069 ,0031 ,00bd ,0006 ,0000 ,00af ,004d ,16    ,E.PIANO5      ,Piano1   ,A3
006a ,0000 ,00be ,0194 ,0000 ,00af ,004d ,16    ,E.PIANO5      ,Piano1   ,D4
006b ,0031 ,00bf ,0194 ,0000 ,00af ,004d ,16    ,E.PIANO5      ,Piano1   ,D4

006c ,0000 ,00c0 ,0000 ,0000 ,0070 ,0047 ,17    ,STRPIANO      ,Piano1   ,A0       ,Strng1   ,A1
006d ,0000 ,00c0 ,0001 ,0000 ,0070 ,0047 ,17    ,STRPIANO      ,Piano1   ,E1       ,Strng1   ,A1
006e ,0000 ,00c4 ,0002 ,0000 ,0070 ,0047 ,17    ,STRPIANO      ,Piano1   ,A1       ,Strng1   ,A1
006f ,0000 ,00c3 ,0003 ,0019 ,0070 ,0048 ,17    ,STRPIANO      ,Piano1   ,E2       ,Strng1   ,A2
0070 ,0000 ,00c2 ,0004 ,0019 ,0070 ,0048 ,17    ,STRPIANO      ,Piano1   ,A2       ,Strng1   ,A2
0071 ,0000 ,00c8 ,0005 ,0019 ,0070 ,0048 ,17    ,STRPIANO      ,Piano1   ,E3       ,Strng1   ,A2
0072 ,0000 ,00bd ,0006 ,0019 ,0070 ,0049 ,17    ,STRPIANO      ,Piano1   ,A3       ,Strng1   ,A4
0073 ,0000 ,00be ,0194 ,0019 ,0070 ,0049 ,17    ,STRPIANO      ,Piano1   ,D4       ,Strng1   ,A4
0074 ,0000 ,00bf ,0194 ,0019 ,0070 ,0049 ,17    ,STRPIANO      ,Piano1   ,D4       ,Strng1   ,A4

0075 ,000f ,009f ,0057 ,0031 ,00ae ,004a ,18    ,FLUTEEP       ,SinM11   ,A1       ,??       ,??
0076 ,000f ,009f ,0057 ,0031 ,00ae ,004b ,18    ,FLUTEEP       ,SinM11   ,A1       ,??       ,??
0077 ,000f ,00a1 ,0058 ,0031 ,00ae ,004c ,18    ,FLUTEEP       ,SinM11   ,A3       ,??       ,??
0078 ,000f ,00a1 ,0059 ,0031 ,00ae ,004d ,18    ,FLUTEEP       ,SinM11   ,A4       ,??       ,??

0079 ,0031 ,00ce ,005a ,0031 ,00ce ,005a ,19    ,BASSEP        ,BassG1   ,A0       ,BassG1   ,A0
007a ,0000 ,00ce ,005c ,0000 ,00ce ,005c ,19    ,BASSEP        ,BassG1   ,A1       ,BassG1   ,A1
007b ,0031 ,0011 ,004c ,0000 ,00af ,004c ,19    ,BASSEP
007c ,0031 ,0011 ,004d ,0000 ,00af ,004d ,19    ,BASSEP
007d ,0031 ,0011 ,004d ,0000 ,00af ,004d ,19    ,BASSEP

007e ,0031 ,007e ,005e ,0000 ,007f ,0007 ,20    ,HARPISCHORD2  ,Pluck1   ,A0       ,HrpsiH   ,A0
007f ,0031 ,007e ,0008 ,0000 ,0081 ,0009 ,20    ,HARPISCHORD2  ,HrpsiL   ,A1       ,HrpsiH   ,A1
0080 ,0031 ,0081 ,000a ,0000 ,0083 ,000b ,20    ,HARPISCHORD2  ,HrpsiL   ,A2       ,HrpsiH   ,A2
0081 ,0031 ,0083 ,000c ,0000 ,0086 ,000d ,20    ,HARPISCHORD2  ,HrpsiL   ,A3       ,HrpsiH   ,A3
0082 ,0031 ,0086 ,000e ,0000 ,0088 ,000f ,20    ,HARPISCHORD2  ,HrpsiL   ,A4       ,HrpsiH   ,A4

0083 ,0000 ,0079 ,005e ,0000 ,007f ,0007 ,21    ,HARPSICHORD3  ,Pluck1   ,A0       ,HrpsiH   ,A0
